#Compound = En60Fs40 amorphous   [Mg0.6Fe0.4SiO3]
#energy [keV], cross section [cm^2 H^-1]
#      energy      extinction      scattering      absorption
       6.7000000   2.1905909e-24   1.5084479e-24   6.8214299e-25
       6.7002000   2.1904317e-24   1.5083467e-24   6.8208499e-25
       6.7004000   2.1902727e-24   1.5082463e-24   6.8202638e-25
       6.7006000   2.1901134e-24   1.5081457e-24   6.8196770e-25
       6.7008000   2.1899544e-24   1.5080450e-24   6.8190934e-25
       6.7010000   2.1897952e-24   1.5079446e-24   6.8185060e-25
       6.7012000   2.1896359e-24   1.5078445e-24   6.8179144e-25
       6.7014000   2.1894770e-24   1.5077437e-24   6.8173335e-25
       6.7016000   2.1893178e-24   1.5076428e-24   6.8167500e-25
       6.7018000   2.1891588e-24   1.5075431e-24   6.8161577e-25
       6.7020000   2.1889997e-24   1.5074422e-24   6.8155749e-25
       6.7022000   2.1888406e-24   1.5073421e-24   6.8149849e-25
       6.7024000   2.1886762e-24   1.5072367e-24   6.8143959e-25
       6.7026000   2.1885171e-24   1.5071360e-24   6.8138112e-25
       6.7028000   2.1883583e-24   1.5070350e-24   6.8132330e-25
       6.7030000   2.1881991e-24   1.5069350e-24   6.8126408e-25
       6.7032000   2.1880401e-24   1.5068342e-24   6.8120597e-25
       6.7034000   2.1878813e-24   1.5067338e-24   6.8114756e-25
       6.7036000   2.1877222e-24   1.5066341e-24   6.8108810e-25
       6.7038000   2.1875633e-24   1.5065326e-24   6.8103074e-25
       6.7040000   2.1874044e-24   1.5064327e-24   6.8097166e-25
       6.7042000   2.1872453e-24   1.5063325e-24   6.8091289e-25
       6.7044000   2.1870866e-24   1.5062323e-24   6.8085434e-25
       6.7046000   2.1869276e-24   1.5061320e-24   6.8079567e-25
       6.7048000   2.1867689e-24   1.5060321e-24   6.8073681e-25
       6.7050000   2.1866099e-24   1.5059309e-24   6.8067899e-25
       6.7052000   2.1864510e-24   1.5058305e-24   6.8062051e-25
       6.7054000   2.1862869e-24   1.5057254e-24   6.8056143e-25
       6.7056000   2.1861279e-24   1.5056249e-24   6.8050299e-25
       6.7058000   2.1859693e-24   1.5055249e-24   6.8044442e-25
       6.7060000   2.1858105e-24   1.5054236e-24   6.8038688e-25
       6.7062000   2.1856516e-24   1.5053247e-24   6.8032692e-25
       6.7064000   2.1854929e-24   1.5052238e-24   6.8026916e-25
       6.7066000   2.1853341e-24   1.5051232e-24   6.8021085e-25
       6.7068000   2.1851754e-24   1.5050228e-24   6.8015261e-25
       6.7070000   2.1850166e-24   1.5049231e-24   6.8009354e-25
       6.7072000   2.1848579e-24   1.5048230e-24   6.8003495e-25
       6.7074000   2.1846993e-24   1.5047232e-24   6.7997616e-25
       6.7076000   2.1845406e-24   1.5046223e-24   6.7991828e-25
       6.7078000   2.1843766e-24   1.5045173e-24   6.7985929e-25
       6.7080000   2.1842178e-24   1.5044173e-24   6.7980048e-25
       6.7082000   2.1840590e-24   1.5043164e-24   6.7974260e-25
       6.7084000   2.1839005e-24   1.5042166e-24   6.7968393e-25
       6.7086000   2.1837418e-24   1.5041167e-24   6.7962510e-25
       6.7088000   2.1835833e-24   1.5040162e-24   6.7956712e-25
       6.7090000   2.1834247e-24   1.5039161e-24   6.7950863e-25
