#Compound = En60fs40 crystalline   [Mg0.6Fe0.4SiO3]
#energy [keV], cross section [cm^2 H^-1]
#      energy      extinction      scattering      absorption
       6.7182000   2.1761859e-24   1.4993523e-24   6.7683365e-25
       6.7184000   2.1760281e-24   1.4992530e-24   6.7677505e-25
       6.7186000   2.1758646e-24   1.4991472e-24   6.7671740e-25
       6.7188000   2.1757067e-24   1.4990479e-24   6.7665882e-25
       6.7190000   2.1755487e-24   1.4989487e-24   6.7659996e-25
       6.7192000   2.1753907e-24   1.4988489e-24   6.7654171e-25
       6.7194000   2.1752329e-24   1.4987490e-24   6.7648391e-25
       6.7196000   2.1750750e-24   1.4986486e-24   6.7642642e-25
       6.7198000   2.1749171e-24   1.4985492e-24   6.7636797e-25
       6.7200000   2.1747538e-24   1.4984443e-24   6.7630951e-25
       6.7202000   2.1745959e-24   1.4983448e-24   6.7625116e-25
       6.7204000   2.1744382e-24   1.4982461e-24   6.7619209e-25
       6.7206000   2.1742802e-24   1.4981461e-24   6.7613411e-25
       6.7208000   2.1741225e-24   1.4980461e-24   6.7607645e-25
       6.7210000   2.1739646e-24   1.4979468e-24   6.7601786e-25
       6.7212000   2.1738067e-24   1.4978472e-24   6.7595953e-25
       6.7214000   2.1736436e-24   1.4977422e-24   6.7590145e-25
       6.7216000   2.1734859e-24   1.4976421e-24   6.7584371e-25
       6.7218000   2.1733282e-24   1.4975428e-24   6.7578544e-25
       6.7220000   2.1731704e-24   1.4974427e-24   6.7572770e-25
       6.7222000   2.1730125e-24   1.4973435e-24   6.7566904e-25
       6.7224000   2.1728550e-24   1.4972440e-24   6.7561097e-25
       6.7226000   2.1726971e-24   1.4971444e-24   6.7555271e-25
       6.7228000   2.1725341e-24   1.4970404e-24   6.7549369e-25
       6.7230000   2.1723764e-24   1.4969402e-24   6.7543616e-25
       6.7232000   2.1722186e-24   1.4968407e-24   6.7537798e-25
       6.7234000   2.1720611e-24   1.4967415e-24   6.7531955e-25
       6.7236000   2.1719034e-24   1.4966417e-24   6.7526171e-25
       6.7238000   2.1717458e-24   1.4965428e-24   6.7520305e-25
       6.7240000   2.1715827e-24   1.4964379e-24   6.7514485e-25
       6.7242000   2.1714251e-24   1.4963382e-24   6.7508691e-25
       6.7244000   2.1712675e-24   1.4962387e-24   6.7502878e-25
       6.7246000   2.1711099e-24   1.4961394e-24   6.7497055e-25
       6.7248000   2.1709525e-24   1.4960396e-24   6.7491295e-25
       6.7250000   2.1707949e-24   1.4959405e-24   6.7485440e-25
       6.7252000   2.1706319e-24   1.4958358e-24   6.7479614e-25
       6.7254000   2.1704743e-24   1.4957366e-24   6.7473770e-25
       6.7256000   2.1703168e-24   1.4956374e-24   6.7467937e-25
       6.7258000   2.1701594e-24   1.4955377e-24   6.7462171e-25
       6.7260000   2.1700018e-24   1.4954383e-24   6.7456352e-25
       6.7262000   2.1698443e-24   1.4953390e-24   6.7450535e-25
       6.7264000   2.1696815e-24   1.4952338e-24   6.7444769e-25
       6.7266000   2.1695240e-24   1.4951349e-24   6.7438906e-25
       6.7268000   2.1693667e-24   1.4950354e-24   6.7433129e-25
       6.7270000   2.1692092e-24   1.4949362e-24   6.7427297e-25
       6.7272000   2.1690517e-24   1.4948373e-24   6.7421433e-25
       6.7274000   2.1688890e-24   1.4947322e-24   6.7415688e-25
       6.7276000   2.1687315e-24   1.4946332e-24   6.7409837e-25
       6.7278000   2.1685742e-24   1.4945343e-24   6.7403989e-25
       6.7280000   2.1684168e-24   1.4944343e-24   6.7398251e-25
       6.7282000   2.1682594e-24   1.4943350e-24   6.7392441e-25
       6.7284000   2.1681022e-24   1.4942362e-24   6.7386594e-25
       6.7286000   2.1679394e-24   1.4941320e-24   6.7380739e-25
       6.7288000   2.1677821e-24   1.4940323e-24   6.7374972e-25
       6.7290000   2.1676248e-24   1.4939334e-24   6.7369146e-25
       6.7292000   2.1674674e-24   1.4938343e-24   6.7363304e-25
       6.7294000   2.1673102e-24   1.4937342e-24   6.7357604e-25
       6.7296000   2.1671475e-24   1.4936297e-24   6.7351783e-25
       6.7298000   2.1669904e-24   1.4935304e-24   6.7345993e-25
       6.7300000   2.1668330e-24   1.4934307e-24   6.7340230e-25
       6.7302000   2.1666758e-24   1.4933329e-24   6.7334288e-25
       6.7304000   2.1665187e-24   1.4932334e-24   6.7328530e-25
       6.7306000   2.1663560e-24   1.4931285e-24   6.7322751e-25
       6.7308000   2.1661989e-24   1.4930297e-24   6.7316928e-25
       6.7310000   2.1660416e-24   1.4929303e-24   6.7311139e-25
       6.7312000   2.1658844e-24   1.4928310e-24   6.7305339e-25
       6.7314000   2.1657274e-24   1.4927322e-24   6.7299520e-25
       6.7316000   2.1655648e-24   1.4926276e-24   6.7293720e-25
       6.7318000   2.1654077e-24   1.4925286e-24   6.7287913e-25
       6.7320000   2.1652506e-24   1.4924298e-24   6.7282077e-25
       6.7322000   2.1650934e-24   1.4923305e-24   6.7276286e-25
       6.7324000   2.1649310e-24   1.4922266e-24   6.7270446e-25
       6.7326000   2.1647738e-24   1.4921269e-24   6.7264695e-25
       6.7328000   2.1646170e-24   1.4920285e-24   6.7258855e-25
       6.7330000   2.1644598e-24   1.4919289e-24   6.7253084e-25
       6.7332000   2.1643026e-24   1.4918300e-24   6.7247260e-25
       6.7334000   2.1641404e-24   1.4917257e-24   6.7241471e-25
       6.7336000   2.1639833e-24   1.4916267e-24   6.7235657e-25
       6.7338000   2.1638264e-24   1.4915276e-24   6.7229886e-25
       6.7340000   2.1636693e-24   1.4914291e-24   6.7224023e-25
       6.7342000   2.1635124e-24   1.4913302e-24   6.7218222e-25
       6.7344000   2.1633501e-24   1.4912257e-24   6.7212443e-25
       6.7346000   2.1631931e-24   1.4911262e-24   6.7206689e-25
       6.7348000   2.1630362e-24   1.4910281e-24   6.7200809e-25
       6.7350000   2.1628792e-24   1.4909282e-24   6.7195101e-25
       6.7352000   2.1627168e-24   1.4908239e-24   6.7189292e-25
       6.7354000   2.1625600e-24   1.4907259e-24   6.7183412e-25
       6.7356000   2.1624031e-24   1.4906264e-24   6.7177664e-25
       6.7358000   2.1622463e-24   1.4905275e-24   6.7171874e-25
       6.7360000   2.1620841e-24   1.4904231e-24   6.7166097e-25
       6.7362000   2.1619271e-24   1.4903241e-24   6.7160307e-25
       6.7364000   2.1617705e-24   1.4902260e-24   6.7154441e-25
       6.7366000   2.1616135e-24   1.4901265e-24   6.7148700e-25
       6.7368000   2.1614568e-24   1.4900277e-24   6.7142902e-25
       6.7370000   2.1612946e-24   1.4899238e-24   6.7137077e-25
       6.7372000   2.1611376e-24   1.4898244e-24   6.7131321e-25
       6.7374000   2.1609810e-24   1.4897256e-24   6.7125546e-25
       6.7376000   2.1608242e-24   1.4896266e-24   6.7119755e-25
       6.7378000   2.1606622e-24   1.4895231e-24   6.7113912e-25
       6.7380000   2.1605053e-24   1.4894236e-24   6.7108168e-25
       6.7382000   2.1603486e-24   1.4893258e-24   6.7102283e-25
       6.7384000   2.1601920e-24   1.4892263e-24   6.7096566e-25
       6.7386000   2.1600297e-24   1.4891221e-24   6.7090762e-25
       6.7388000   2.1598733e-24   1.4890235e-24   6.7084976e-25
       6.7390000   2.1597165e-24   1.4889250e-24   6.7079143e-25
       6.7392000   2.1595598e-24   1.4888260e-24   6.7073380e-25
       6.7394000   2.1593978e-24   1.4887216e-24   6.7067622e-25
       6.7396000   2.1592412e-24   1.4886235e-24   6.7061765e-25
       6.7398000   2.1590847e-24   1.4885241e-24   6.7056056e-25
       6.7400000   2.1589281e-24   1.4884254e-24   6.7050264e-25
       6.7402000   2.1587659e-24   1.4883223e-24   6.7044361e-25
       6.7404000   2.1586095e-24   1.4882227e-24   6.7038683e-25
       6.7406000   2.1584528e-24   1.4881246e-24   6.7032824e-25
       6.7408000   2.1582909e-24   1.4880201e-24   6.7027080e-25
       6.7410000   2.1581344e-24   1.4879215e-24   6.7021288e-25
       6.7412000   2.1579778e-24   1.4878231e-24   6.7015467e-25
       6.7414000   2.1578214e-24   1.4877245e-24   6.7009690e-25
       6.7416000   2.1576594e-24   1.4876201e-24   6.7003927e-25
       6.7418000   2.1575029e-24   1.4875215e-24   6.6998147e-25
       6.7420000   2.1573465e-24   1.4874225e-24   6.6992400e-25
       6.7422000   2.1571908e-24   1.4873239e-24   6.6986689e-25
       6.7424000   2.1570300e-24   1.4872210e-24   6.6980895e-25
       6.7426000   2.1568743e-24   1.4871227e-24   6.6975159e-25
       6.7428000   2.1567189e-24   1.4870231e-24   6.6969578e-25
       6.7430000   2.1565579e-24   1.4869198e-24   6.6963802e-25
       6.7432000   2.1564022e-24   1.4868201e-24   6.6958208e-25
       6.7434000   2.1562468e-24   1.4867220e-24   6.6952479e-25
       6.7436000   2.1560912e-24   1.4866233e-24   6.6946790e-25
       6.7438000   2.1559305e-24   1.4865203e-24   6.6941019e-25
       6.7440000   2.1557749e-24   1.4864210e-24   6.6935388e-25
       6.7442000   2.1556192e-24   1.4863226e-24   6.6929655e-25
       6.7444000   2.1554586e-24   1.4862184e-24   6.6924020e-25
       6.7446000   2.1553030e-24   1.4861197e-24   6.6918330e-25
       6.7448000   2.1551477e-24   1.4860219e-24   6.6912586e-25
       6.7450000   2.1549921e-24   1.4859232e-24   6.6906893e-25
       6.7452000   2.1548313e-24   1.4858195e-24   6.6901177e-25
       6.7454000   2.1546760e-24   1.4857216e-24   6.6895438e-25
       6.7456000   2.1545206e-24   1.4856228e-24   6.6889782e-25
       6.7458000   2.1543599e-24   1.4855191e-24   6.6884081e-25
       6.7460000   2.1542045e-24   1.4854203e-24   6.6878424e-25
       6.7462000   2.1540490e-24   1.4853218e-24   6.6872725e-25
       6.7464000   2.1538939e-24   1.4852236e-24   6.6867022e-25
       6.7466000   2.1537331e-24   1.4851194e-24   6.6861365e-25
       6.7468000   2.1535778e-24   1.4850207e-24   6.6855716e-25
       6.7470000   2.1534225e-24   1.4849240e-24   6.6849854e-25
       6.7472000   2.1532617e-24   1.4848188e-24   6.6844296e-25
       6.7474000   2.1531066e-24   1.4847210e-24   6.6838565e-25
       6.7476000   2.1529513e-24   1.4846228e-24   6.6832846e-25
       6.7478000   2.1527908e-24   1.4845188e-24   6.6827199e-25
       6.7480000   2.1526354e-24   1.4844203e-24   6.6821513e-25
       6.7482000   2.1524802e-24   1.4843223e-24   6.6815784e-25
       6.7484000   2.1523250e-24   1.4842235e-24   6.6810149e-25
       6.7486000   2.1521644e-24   1.4841198e-24   6.6804468e-25
       6.7488000   2.1520094e-24   1.4840226e-24   6.6798677e-25
       6.7490000   2.1518540e-24   1.4839230e-24   6.6793106e-25
       6.7492000   2.1516935e-24   1.4838200e-24   6.6787344e-25
       6.7494000   2.1515384e-24   1.4837215e-24   6.6781692e-25
       6.7496000   2.1513832e-24   1.4836231e-24   6.6776008e-25
       6.7498000   2.1512228e-24   1.4835197e-24   6.6770304e-25
       6.7500000   2.1510675e-24   1.4834211e-24   6.6764643e-25
       6.7502000   2.1509124e-24   1.4833236e-24   6.6758878e-25
       6.7504000   2.1507520e-24   1.4832191e-24   6.6753291e-25
       6.7506000   2.1505968e-24   1.4831212e-24   6.6747561e-25
       6.7508000   2.1504419e-24   1.4830235e-24   6.6741841e-25
       6.7510000   2.1502815e-24   1.4829194e-24   6.6736205e-25
       6.7512000   2.1501263e-24   1.4828216e-24   6.6730479e-25
       6.7514000   2.1499714e-24   1.4827235e-24   6.6724791e-25
       6.7516000   2.1498163e-24   1.4826255e-24   6.6719081e-25
       6.7518000   2.1496562e-24   1.4825216e-24   6.6713454e-25
       6.7520000   2.1495010e-24   1.4824235e-24   6.6707755e-25
       6.7522000   2.1493459e-24   1.4823252e-24   6.6702079e-25
