#Compound = Hypersthene     [Mg1.502Fe0.498Si2O6]
#energy [keV], cross section [cm^2 H^-1]
#       energy     extinction      scattering      absorption
       6.7184000   1.9640099e-24   1.3632804e-24   6.0072952e-25
       6.7186000   1.9638770e-24   1.3632000e-24   6.0067706e-25
       6.7188000   1.9637443e-24   1.3631194e-24   6.0062489e-25
       6.7190000   1.9635860e-24   1.3630129e-24   6.0057315e-25
       6.7192000   1.9634532e-24   1.3629321e-24   6.0052109e-25
       6.7194000   1.9633206e-24   1.3628519e-24   6.0046877e-25
       6.7196000   1.9631878e-24   1.3627706e-24   6.0041722e-25
       6.7198000   1.9630298e-24   1.3626647e-24   6.0036513e-25
       6.7200000   1.9628969e-24   1.3625839e-24   6.0031304e-25
       6.7202000   1.9627642e-24   1.3625028e-24   6.0026138e-25
       6.7204000   1.9626062e-24   1.3623972e-24   6.0020900e-25
       6.7206000   1.9624734e-24   1.3623168e-24   6.0015661e-25
       6.7208000   1.9623408e-24   1.3622356e-24   6.0010520e-25
       6.7210000   1.9622081e-24   1.3621551e-24   6.0005301e-25
       6.7212000   1.9620500e-24   1.3620486e-24   6.0000136e-25
       6.7214000   1.9619175e-24   1.3619684e-24   5.9994903e-25
       6.7216000   1.9617848e-24   1.3618876e-24   5.9989719e-25
       6.7218000   1.9616269e-24   1.3617813e-24   5.9984554e-25
       6.7220000   1.9614942e-24   1.3617003e-24   5.9979386e-25
       6.7222000   1.9613615e-24   1.3616197e-24   5.9974175e-25
       6.7224000   1.9612290e-24   1.3615391e-24   5.9968989e-25
       6.7226000   1.9610710e-24   1.3614331e-24   5.9963789e-25
       6.7228000   1.9609385e-24   1.3613535e-24   5.9958500e-25
       6.7230000   1.9608059e-24   1.3612721e-24   5.9953373e-25
       6.7232000   1.9606478e-24   1.3611658e-24   5.9948202e-25
       6.7234000   1.9605154e-24   1.3610856e-24   5.9942984e-25
       6.7236000   1.9603829e-24   1.3610050e-24   5.9937787e-25
       6.7238000   1.9602504e-24   1.3609242e-24   5.9932618e-25
       6.7240000   1.9600925e-24   1.3608182e-24   5.9927436e-25
       6.7242000   1.9599599e-24   1.3607380e-24   5.9922199e-25
       6.7244000   1.9598275e-24   1.3606570e-24   5.9917047e-25
       6.7246000   1.9596697e-24   1.3605519e-24   5.9911781e-25
       6.7248000   1.9595373e-24   1.3604708e-24   5.9906651e-25
       6.7250000   1.9594048e-24   1.3603898e-24   5.9901494e-25
       6.7252000   1.9592469e-24   1.3602845e-24   5.9896240e-25
       6.7254000   1.9591146e-24   1.3602039e-24   5.9891070e-25
       6.7256000   1.9589821e-24   1.3601231e-24   5.9885899e-25
       6.7258000   1.9588498e-24   1.3600429e-24   5.9880691e-25
       6.7260000   1.9586920e-24   1.3599369e-24   5.9875511e-25
       6.7262000   1.9585595e-24   1.3598567e-24   5.9870289e-25
       6.7264000   1.9584272e-24   1.3597762e-24   5.9865105e-25
       6.7266000   1.9582694e-24   1.3596705e-24   5.9859895e-25
       6.7268000   1.9581372e-24   1.3595897e-24   5.9854753e-25
       6.7270000   1.9580048e-24   1.3595089e-24   5.9849590e-25
       6.7272000   1.9578724e-24   1.3594289e-24   5.9844355e-25
       6.7274000   1.9577148e-24   1.3593230e-24   5.9839183e-25
       6.7276000   1.9575825e-24   1.3592426e-24   5.9833989e-25
       6.7278000   1.9574503e-24   1.3591620e-24   5.9828825e-25
       6.7280000   1.9572925e-24   1.3590565e-24   5.9823606e-25
       6.7282000   1.9571602e-24   1.3589754e-24   5.9818481e-25
       6.7284000   1.9570281e-24   1.3588949e-24   5.9813321e-25
       6.7286000   1.9568704e-24   1.3587894e-24   5.9808102e-25
       6.7288000   1.9567383e-24   1.3587094e-24   5.9802888e-25
       6.7290000   1.9566060e-24   1.3586284e-24   5.9797756e-25
       6.7292000   1.9564737e-24   1.3585489e-24   5.9792483e-25
       6.7294000   1.9563162e-24   1.3584432e-24   5.9787306e-25
       6.7296000   1.9561839e-24   1.3583628e-24   5.9782110e-25
       6.7298000   1.9560519e-24   1.3582821e-24   5.9776981e-25
       6.7300000   1.9558943e-24   1.3581761e-24   5.9771821e-25
       6.7302000   1.9557621e-24   1.3580959e-24   5.9766626e-25
       6.7304000   1.9556301e-24   1.3580150e-24   5.9761504e-25
       6.7306000   1.9554978e-24   1.3579357e-24   5.9756220e-25
       6.7308000   1.9553405e-24   1.3578300e-24   5.9751047e-25
       6.7310000   1.9552083e-24   1.3577495e-24   5.9745874e-25
       6.7312000   1.9550761e-24   1.3576683e-24   5.9740785e-25
       6.7314000   1.9549188e-24   1.3575635e-24   5.9735524e-25
       6.7316000   1.9547867e-24   1.3574828e-24   5.9730384e-25
       6.7318000   1.9546547e-24   1.3574020e-24   5.9725266e-25
