# wavenum(1/um), tau
7.660056657223795, 3.170731707317073
7.524079320113315, 3.170731707317073
7.405099150141642, 3.1585365853658534
7.286118980169971, 3.1463414634146343
7.1671388101983, 3.1341463414634143
7.06515580736544, 3.1341463414634143
6.946175637393767, 3.1463414634146343
6.810198300283287, 3.1585365853658534
6.691218130311616, 3.170731707317073
6.555240793201134, 3.2073170731707314
6.453257790368272, 3.2439024390243896
6.334277620396601, 3.2926829268292677
6.249291784702549, 3.3658536585365852
6.164305949008498, 3.426829268292683
6.096317280453257, 3.512195121951219
6.0623229461756365, 3.573170731707317
6.0113314447592066, 3.6585365853658534
5.977337110481586, 3.7317073170731705
5.9433427762039654, 3.8048780487804876
5.909348441926345, 3.8780487804878048
5.875354107648724, 3.975609756097561
5.841359773371106, 4.048780487804878
5.807365439093485, 4.121951219512194
5.7733711048158645, 4.2195121951219505
5.739376770538244, 4.304878048780488
5.705382436260623, 4.365853658536585
5.671388101983003, 4.439024390243902
5.637393767705382, 4.524390243902439
5.586402266288951, 4.585365853658536
5.501416430594901, 4.621951219512195
5.4164305949008495, 4.585365853658536
5.365439093484419, 4.512195121951219
5.314447592067989, 4.439024390243902
5.263456090651558, 4.365853658536585
5.212464589235127, 4.292682926829268
5.178470254957507, 4.2195121951219505
5.144475920679886, 4.134146341463414
5.093484419263456, 4.048780487804878
5.042492917847025, 3.951219512195122
4.991501416430594, 3.8536585365853657
4.9405099150141645, 3.7804878048780486
4.889518413597734, 3.7073170731707314
4.804532577903682, 3.6341463414634143
4.7025495750708215, 3.585365853658536
4.668555240793201, 3.560975609756097
4.56657223796034, 3.560975609756097
4.481586402266289, 3.536585365853658
4.430594900849859, 3.4756097560975605
4.379603399433428, 3.4146341463414633
4.3456090651558075, 3.3536585365853657
4.311614730878187, 3.268292682926829
4.269121813031162, 3.1829268292682924
4.243626062322947, 3.0731707317073167
4.209631728045326, 2.963414634146341
4.175637393767705, 2.8780487804878048
4.141643059490085, 2.7804878048780486
4.090651558073655, 2.6829268292682924
4.0566572237960346, 2.5853658536585367
4.005665722379604, 2.4999999999999996
3.971671388101983, 2.4146341463414633
3.9206798866855523, 2.3292682926829267
3.8696883852691224, 2.24390243902439
3.835694050991502, 2.146341463414634
3.784702549575071, 2.0609756097560976
3.7507082152974505, 1.963414634146341
3.71671388101983, 1.8658536585365848
3.6827195467422102, 1.7560975609756095
3.6317280453257794, 1.6463414634146343
3.597733711048159, 1.5121951219512195
3.546742209631728, 1.4024390243902434
3.5127478753541075, 1.280487804878049
3.4617563739376775, 1.1829268292682928
3.427762039660057, 1.0853658536585367
3.3937677053824364, 1
3.3427762039660056, 0.9146341463414638
3.308781869688386, 0.8292682926829267
3.2577903682719542, 0.7317073170731705
3.2237960339943346, 0.6463414634146343
3.189801699716714, 0.5609756097560972
3.138810198300283, 0.4634146341463419
3.0878186968838532, 0.39024390243902474
3.019830028328612, 0.3170731707317076
2.9348441926345608, 0.24390243902439046
2.8498583569405103, 0.17073170731707332
2.713881019830029, 0.12195121951219523
2.5779036827195476, 0.09756097560975618
2.4589235127478757, 0.07317073170731714
2.3399433427762037, 0.04878048780487809
2.2209631728045327, 0.036585365853658125
2.1019830028328608, 0.024390243902439046
1.94900849858357, 0.012195121951219079
1.7960339943342776, 0.024390243902439046
1.6430594900849864, 0.024390243902439046
1.5240793201133145, 0.036585365853658125
1.4050991501416434, 0.04878048780487809
1.286118980169972, 0.06097560975609806
1.13314447592068, 0.07317073170731714
0.997167138810199, 0.07317073170731714
