# wavel(nm), crosssec(cm2)
23.272575561819735, 6.572918297953821e-18
30.52778267167801, 9.870009281247942e-18
37.78298978153627, 1.3408274242783875e-17
45.76371760238038, 1.7743947215890615e-17
53.74444542322448, 2.055420714042223e-17
61.725173244068586, 2.2681329685592658e-17
69.70590106491268, 2.2618499208864615e-17
77.68662888575679, 1.8472206195031644e-17
85.6673567066009, 1.8574974244597277e-17
93.648084527445, 1.9257045728696302e-17
99.81501057082453, 1.331253230264135e-17
105.67963631795998, 9.230746145362142e-18
106.70745732518988, 8.728537751230215e-18
112.51162301307649, 8.376282375495303e-18
117.73537213217445, 6.97492233356523e-18
123.39443367786392, 9.849116716134012e-18
121.58063190039935, 1.3690153923579632e-17
129.56135972124343, 7.231375213069011e-18
133.18896327617256, 4.888253334452336e-18
135.5831816224258, 3.154915009559031e-18
137.46953547098894, 2.1153713079342697e-18
138.6303686085663, 1.4241393501400715e-18
141.16969109701665, 9.505251959787076e-19
146.24833607391747, 7.775375521873742e-19
150.60146033983244, 1.1919257928153753e-18
153.50354318377572, 1.7189889494663052e-18
156.40562602771905, 2.4230253629817606e-18
160.03322958264818, 3.503371232792922e-18
166.2001556260277, 4.39006107688806e-18
172.36708166940724, 3.2378136887424983e-18
175.6319248688435, 2.1610409758931105e-18
177.08296629081514, 1.4589608711298352e-18
178.53400771278677, 1.0039377392279316e-18
179.98504913475847, 6.726272002232467e-19
181.4360905567301, 4.0346290513341064e-19
182.88713197870175, 2.2595180860256555e-19
183.6126526896876, 1.504259061767085e-19
184.33817340067338, 1.0027244784818126e-19
185.30553434865448, 7.122769788552584e-20
186.03105505964032, 4.938840956422539e-20
186.75657577062617, 3.459541172886693e-20
187.48209648161196, 2.3988032945474336e-20
188.2076171925978, 1.6464685520799793e-20
188.93313790358366, 1.1186517689712794e-20
189.65865861456945, 7.95635900164608e-21
190.3841793255553, 5.716775762713217e-21
191.10970003654114, 4.107598100385379e-21
191.83522074752693, 2.9664251594432476e-21
192.89931779030616, 1.9096906534939437e-21
