# wavel(nm), crosssec(cm2)
188.3285373110955, 5.317825852683858e-19
195.2209840654608, 3.69419731055175e-19
202.47619117531912, 3.209324965054293e-19
207.19207579672695, 4.1280277016936325e-19
215.53556397306397, 1.1156721064995871e-18
219.88868823897894, 1.6673282012834525e-18
223.51629179390812, 2.4267249739554414e-18
227.50665570433017, 3.476747590151549e-18
232.222540325738, 4.91496163049307e-18
238.02670601362468, 6.984387933228418e-18
245.28191312348292, 9.518953172859294e-18
253.26264094432702, 1.1165057155207397e-17
261.2433687651711, 1.066554290819667e-17
268.4985758750294, 8.473398205861867e-18
274.302741562916, 6.072079982929426e-18
279.0186261843239, 4.26108065833275e-18
283.00899009474597, 2.932127768088524e-18
286.6365936496751, 1.990135430875092e-18
289.9014368491113, 1.3466575599585509e-18
292.8035196930546, 9.48111252535009e-19
295.7056025369979, 6.449899399678964e-19
298.60768538094123, 4.288521474941758e-19
301.50976822488457, 2.884242242784355e-19
304.41185106882784, 1.939795186679042e-19
307.3139339127712, 1.2996413566700523e-19
310.21601675671445, 8.674304625662668e-20
313.1180996006578, 5.767522772400537e-20
316.382942800094, 3.559936433356213e-20
318.19674457755855, 2.4731281772216545e-20
318.9222652885444, 1.836706376000772e-20
210.20671834625324, 5.426418370800288e-19
212.79069767441865, 7.316557409750849e-19
